TechName,Comm-In,Comm-Out,EFF,EFF~2030,EFF~2050,LIFE,INVCOST~2018,INVCOST~2030,INVCOST~2050,FIXOM~2018,AFA,FLO_MARK~2030,FLO_MARK~2050,FLO_MARK~0
C_EDU-SH-Boiler-LPG,COMLPG,C_EDU-SH,0.85,,,25,1470.588,,,2,0.1,0,0,3
C_EDU-SH-Boiler-PLT,COMPLT,C_EDU-SH,0.92,,,30,4891.304,,,10,0.1,0.2,0.4,3
C_EDU-SH-Boiler-ELC,COMELC,C_EDU-SH,0.99,,,30,1262.626,,,2,0.1,0.1,0.3,3
C_EDU-SH-Boiler-BIG,COMBIG,C_EDU-SH,0.85,,,25,1470.588,,,2,0.1,0,0,3
C_EDU-SH-Boiler-H2R,COMH2R,C_EDU-SH,0.75,,,25,1833.333,,,2,0.1,0,0,3
C_EDU-WH-Boiler-LPG,COMLPG,C_EDU-WH,0.85,,,25,1470.588,,,2,0.216895,0,0,3
C_EDU-WH-Boiler-WOD,COMWOD,C_EDU-WH,0.85,,,30,5294.118,,,10,0.216895,,,
C_EDU-WH-Boiler-PLT,COMPLT,C_EDU-WH,0.92,,,30,4891.304,,,10,0.216895,,,
C_EDU-WH-Boiler-BIG,COMBIG,C_EDU-WH,0.85,,,25,1470.588,,,2,0.216895,0,0,3
C_EDU-WH-Boiler-H2R,COMH2R,C_EDU-WH,0.75,,,25,1833.333,,,2,0.216895,0,0,3
C_EDU-SH-GHP-ELC,COMELC,C_EDU-SH,,,,20,1846,1753.7,1718.626,0,0.1,0.3,0.7,3
C_EDU-WH-AIRHP-ELC,COMELC,C_EDU-WH,2.5,3.5,4,20,1500,1425,1396.5,0,0.216895,0.6,1,3
C_EDU-WH-GHP-ELC,COMELC,C_EDU-WH,2.5,3.5,4,20,1846,1753.7,1718.626,0,0.216895,0.6,1,3
C_EDU-WH-Cylinder-ELC,COMELC,C_EDU-WH,0.9,,,15,727.7778,,,0,0.216895,0.6549,0.6549,3
C_EDU-WH-Cylinder-NGA,COMNGA,C_EDU-WH,0.6,,,15,526.6667,,,0,0.216895,0.2819,0.1,3
C_EDU-WH-Cylinder-LPG,COMLPG,C_EDU-WH,0.6,,,15,526.6667,,,0,0.216895,0.05,0.05,3
C_EDU-WH-Instant-NGA,COMNGA,C_EDU-WH,0.65,,,15,49.23077,,,0,0.216895,0.2,0.1,3
C_EDU-WH-Instant-LPG,COMLPG,C_EDU-WH,0.65,,,15,49.23077,,,0,0.216895,0.1,0.05,3
C_EDU-WH-Instant-ELC,COMELC,C_EDU-WH,0.85,,,15,842.3529,,,0,0.216895,0.05,0.1,3
C_EDU-MPM-MPM-LPG,COMLPG,C_EDU-MPM,0.14,,,20,900,,,7,0.05,,,
C_EDU-MPM-MPM-ELC,COMELC,C_EDU-MPM,0.99,,,10,188.8889,,,0,0.05,0.5,1,3
C_EDU-MPM-MPM-H2R,COMH2R,C_EDU-MPM,0.5,0.6,0.65,10,876,832.2,815.556,2,0.05,0.05,0.5,3
C_EDU-MPS-MPS-DSL,COMDSL,C_EDU-MPS,0.16,,,20,937.5,,,5,0.216895,0.4,0.4,3
C_EDU-MPS-MPS-LPG,COMLPG,C_EDU-MPS,0.14,,,20,1071.429,,,5,0.216895,,,
C_EDU-MPS-MPS-H2R,COMH2R,C_EDU-MPS,0.5,0.6,0.65,10,876,832.2,815.556,2,0.216895,0.1,0.3,3
C_EDU-SC-GHP-ELC,COMELC,C_EDU-SC,3.5,4,4.5,10,1071.429,1017.857,997.5,0,0.108447,,,
C_HLTH-SH-Boiler-LPG,COMLPG,C_HLTH-SH,0.85,,,25,588.2353,,,2,0.342188,0,0,3
C_HLTH-SH-Boiler-PLT,COMPLT,C_HLTH-SH,0.92,,,30,1956.522,,,10,0.342188,0.2,0.4,3
